Year,PC Name,PC No,Type,State,Winning Candidate,Party,Electors,Votes,Margin
2019,Adilabad,1,ST,Telangana,Soyam Bapu Rao,Bharatiya Janta Party,1382837,1063730,58560
2019,Agra,18,SC,Uttar Pradesh,Satyapal Singh Baghel,Bharatiya Janta Party,1866262,1145323,211546
2019,Ahmadnagar,37,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,1793677,1203797,281474
2019,Ahmedabad East,7,GEN,Gujarat,Patel Hasmukhbhai Somabhai,Bharatiya Janta Party,1713598,1116367,434330
2019,Ahmedabad West,8,SC,Gujarat,Dr. Kirit P. Solanki,Bharatiya Janta Party,1580673,997024,321546
2019,Ajmer,13,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,1844532,1262214,416424
2019,Akbarpur,44,GEN,Uttar Pradesh,Devendra Singh 'bhole',Bharatiya Janta Party,1714490,1025314,275142
2019,Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1757645,1119440,275596
2019,Alappuzha,15,GEN,Kerala,Adv. A M Ariff,Communist Party Of India (Marxist),1298061,1088728,10474
2019,Alathur,9,SC,Kerala,Ramya Haridas,Indian National Congress,1219063,1018743,158968
2019,Aligarh,15,GEN,Uttar Pradesh,Satish Kumar Gautam,Bharatiya Janta Party,1847005,1163184,229261
2019,Alipurduars,2,ST,West Bengal,John Barla,Bharatiya Janta Party,1527563,1380217,243989
2019,Allahabad,52,GEN,Uttar Pradesh,Rita Bahuguna Joshi,Bharatiya Janta Party,1679883,889056,184275
2019,Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1287611,694472,232986
2019,Alwar,8,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,2059180,1265674,329971
2019,Amalapuram,7,,Andhra Pradesh,Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,1156280,1232895,39795
2019,Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1757524,1316235,342345
2019,Ambedkar Nagar,55,GEN,Uttar Pradesh,Ritesh Pandey,Bahujan Samaj Party,1744287,1090152,95880
2019,Amethi,37,GEN,Uttar Pradesh,Smriti Irani,Bharatiya Janta Party,1703510,942453,55120
2019,Amravati,7,SC,Maharashtra,Navnit Ravi Rana,Independent,1752097,1112385,36951
2019,Amreli,14,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1602346,909167,201431
2019,Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,1468972,859513,99626
2019,Amroha,9,GEN,Uttar Pradesh,Kunwar Danish Ali,Bahujan Samaj Party,1596897,1169182,63248
2019,Anakapalli,5,,Andhra Pradesh,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,1397335,1238491,89192
